content_id,url,title,content_type,current_category,proposed_domain,target_agency,jurisdiction,authority_status,audit_status,risk_level,verified_at,official_source_link_count,inbound_links,text_len,reason,recommended_action,priority
audit-cases:accommodation-allowance-false-claim,/audit-cases/accommodation-allowance-false-claim,출장 숙박하지 않았음에도 숙박비 허위 영수증으로 청구 — 감사 지적 사례와 실무 대응 방법,audit-cases,,03_보수수당,UNSPECIFIED,UNSPECIFIED,UNVERIFIED,UPDATE,HIGH,2026-05-19,0,44,3650,R-AC1 검토출처에 내부 엔지니어링 메타데이터(커밋/배치/lawId) 노출,출처 필드를 사례 출처로 교체하고 검증방법은 별도 필드로 분리,P0
audit-cases:accounting-data-falsification,/audit-cases/accounting-data-falsification,회계 장부 허위 기재로 현금 부족분 은닉 — 감사 지적 사례와 실무 대응 방법,audit-cases,,04_예산회계,UNSPECIFIED,LOCAL,UNVERIFIED,UPDATE,HIGH,2026-05-19,0,1,2076,R-AC1 검토출처에 내부 엔지니어링 메타데이터(커밋/배치/lawId) 노출,출처 필드를 사례 출처로 교체하고 검증방법은 별도 필드로 분리,P0
audit-cases:accounting-evidence-missing,/audit-cases/accounting-evidence-missing,증빙서류 미비로 회계처리 부적정 — 감사 지적 사례와 실무 대응 방법,audit-cases,,04_예산회계,UNSPECIFIED,LOCAL,UNVERIFIED,UPDATE,HIGH,2026-05-19,0,2,3951,R-AC1 검토출처에 내부 엔지니어링 메타데이터(커밋/배치/lawId) 노출,출처 필드를 사례 출처로 교체하고 검증방법은 별도 필드로 분리,P0
audit-cases:accounting-officer-dual-role-fraud,/audit-cases/accounting-officer-dual-role-fraud,재무관·출납원 겸직으로 내부통제 취약 — 공금 유용 발생 — 감사 지적 사례와 실무 대응 방법,audit-cases,,04_예산회계,UNSPECIFIED,LOCAL,UNVERIFIED,UPDATE,HIGH,2026-05-19,0,2,2174,R-AC1 검토출처에 내부 엔지니어링 메타데이터(커밋/배치/lawId) 노출,출처 필드를 사례 출처로 교체하고 검증방법은 별도 필드로 분리,P0
audit-cases:additional-contract-limit-001,/audit-cases/additional-contract-limit-001,추가계약으로 원계약금액 10% 초과 — 지방계약법 시행령 제74조 위반 — 감사 지적 사례와 실무 대응 방법,audit-cases,,05_계약조달,UNSPECIFIED,LOCAL,SILMU_RECONSTRUCTED_CASE,UPDATE,MEDIUM,2026-06-18,0,1,2693,R-AC2 재구성 사례인데 '5단계 정합성 검증 완료' 배지가 사례 검증으로 오독됨,"provenance=SILMU_RECONSTRUCTED_CASE 라벨을 제목/상단에 명시, 배지 문구를 '법령근거 검증'으로 한정",P0
audit-cases:annual-leave-compensation-double-payment,/audit-cases/annual-leave-compensation-double-payment,연가 사용일에 연가보상비 이중지급 — 복무규정 위반 — 감사 지적 사례와 실무 대응 방법,audit-cases,,02_복무,UNSPECIFIED,NATIONAL,SILMU_RECONSTRUCTED_CASE,UPDATE,MEDIUM,2026-06-29,0,2,2909,R-AC2 재구성 사례인데 '5단계 정합성 검증 완료' 배지가 사례 검증으로 오독됨,"provenance=SILMU_RECONSTRUCTED_CASE 라벨을 제목/상단에 명시, 배지 문구를 '법령근거 검증'으로 한정",P0
audit-cases:bid-bond-not-submitted,/audit-cases/bid-bond-not-submitted,입찰보증금 미납부 입찰 허용 — 감사 지적 사례와 실무 대응 방법,audit-cases,,05_계약조달,UNSPECIFIED,LOCAL,SILMU_RECONSTRUCTED_CASE,UPDATE,MEDIUM,2026-06-09,0,24,2398,R-AC2 재구성 사례인데 '5단계 정합성 검증 완료' 배지가 사례 검증으로 오독됨,"provenance=SILMU_RECONSTRUCTED_CASE 라벨을 제목/상단에 명시, 배지 문구를 '법령근거 검증'으로 한정",P0
audit-cases:bid-deposit-001,/audit-cases/bid-deposit-001,입찰보증금 미납 업체 낙찰 처리 — 지방계약법 시행령 제37조 위반 — 감사 지적 사례와 실무 대응 방법,audit-cases,,05_계약조달,UNSPECIFIED,LOCAL,SILMU_RECONSTRUCTED_CASE,UPDATE,MEDIUM,2026-06-18,0,1,2470,R-AC2 재구성 사례인데 '5단계 정합성 검증 완료' 배지가 사례 검증으로 오독됨,"provenance=SILMU_RECONSTRUCTED_CASE 라벨을 제목/상단에 명시, 배지 문구를 '법령근거 검증'으로 한정",P0
audit-cases:bid-evaluation-criteria-missing,/audit-cases/bid-evaluation-criteria-missing,적격심사 세부기준 미수립 — 감사 지적 사례와 실무 대응 방법,audit-cases,,05_계약조달,UNSPECIFIED,LOCAL,SILMU_RECONSTRUCTED_CASE,UPDATE,MEDIUM,2026-06-09,0,1,2381,R-AC2 재구성 사례인데 '5단계 정합성 검증 완료' 배지가 사례 검증으로 오독됨,"provenance=SILMU_RECONSTRUCTED_CASE 라벨을 제목/상단에 명시, 배지 문구를 '법령근거 검증'으로 한정",P0
audit-cases:bid-failure-negotiation-001,/audit-cases/bid-failure-negotiation-001,유찰 후 수의계약 시 2인 이상 견적 미징구 — 지방계약법 시행령 제25조 위반 — 감사 지적 사례와 실무 대응,audit-cases,,05_계약조달,UNSPECIFIED,LOCAL,SILMU_RECONSTRUCTED_CASE,UPDATE,MEDIUM,2026-06-18,0,1,2436,R-AC2 재구성 사례인데 '5단계 정합성 검증 완료' 배지가 사례 검증으로 오독됨,"provenance=SILMU_RECONSTRUCTED_CASE 라벨을 제목/상단에 명시, 배지 문구를 '법령근거 검증'으로 한정",P0
