카테고리,소분류,번호,포스팅 제목,핵심 키워드
계약·조달,계약/조달,1,지방계약법 수의계약 2천만원 한도 — 공사·물품·용역 기준이 다르다,수의계약 2천만원 지방계약법
계약·조달,계약/조달,2,수의계약 2인 이상 견적 징수 — 면제 가능한 예외 사항,견적서 2인이상 면제
계약·조달,계약/조달,3,수의계약 한도 초과 변경계약 가능한가? — 실무 판단 기준,변경계약 수의계약한도 초과
계약·조달,계약/조달,4,나라장터 수의계약 등록 절차 — 전자계약 실무 가이드,나라장터 전자계약 G2B
계약·조달,계약/조달,5,지방계약 적격심사 기준 — 85점 미만이면 어떻게 되나?,적격심사 85점 낙찰
계약·조달,계약/조달,6,PQ(입찰참가자격 사전심사) — 공사 규모별 적용 기준과 제출 서류,PQ심사 입찰자격 사전심사
계약·조달,계약/조달,7,지방계약 원가계산 예정가격 작성 — 재료비·노무비·경비 산출 기준,원가계산 예정가격 일반관리비
계약·조달,계약/조달,8,긴급 수의계약 — 재해·재난 시 수의계약 허용 요건,긴급수의계약 재해 단독계약
계약·조달,계약/조달,9,계약보증금 납부 면제 — 소액계약 면제 기준과 주의사항,계약보증금 면제 소액계약
계약·조달,계약/조달,10,지체상금 계산 공식 — 계약 납기 지연 시 일별 요율 적용법,지체상금 납기지연 요율
계약·조달,계약/조달,11,협상에 의한 계약 — 일반경쟁입찰과 무엇이 다른가?,협상계약 기술제안 용역
계약·조달,계약/조달,12,나라장터 입찰공고 마감 5분 전 전략 — 전자입찰 실패 예방,전자입찰 마감 나라장터
계약·조달,계약/조달,13,청년·여성·장애인기업 우선구매 — 수의계약 한도 5천만원 적용,우선구매 여성기업 장애인기업
계약·조달,계약/조달,14,소기업·소상공인 용역 수의계약 — 1억원 이하 특례 적용 조건,소기업 소상공인 1억원
계약·조달,계약/조달,15,조달청 MAS(다수공급자계약) 활용법 — 일반물품 구매 절차,MAS 다수공급자 조달청
계약·조달,계약/조달,16,입찰 공고문 작성 시 자주 틀리는 5가지 — 실무 체크리스트,입찰공고 공고문 체크리스트
계약·조달,계약/조달,17,계약 변경 — 설계변경과 물가변동 변경의 차이,설계변경 물가변동 계약변경
계약·조달,계약/조달,18,보조금 집행잔액 반납 절차 — e나라도움 처리 방법,보조금 집행잔액 반납
계약·조달,계약/조달,19,보조금 부정수급 — 불인정 처리 사례와 제재 수준,부정수급 불인정 보조금반납
계약·조달,계약/조달,20,공사 하자보수보증금 — 하자담보책임 기간별 요율,하자보수 하자담보 요율
계약·조달,계약/조달,21,수입물가 변동 시 공공계약 물가변동 조정 — 적용 조건과 절차,물가변동 에스컬레이션 계약금액
계약·조달,계약/조달,22,지방계약 분할계약 금지 — 편법 수의계약 적발 사례,분할계약금지 편법 감사
계약·조달,계약/조달,23,공사계약 착공·준공 신고 절차 — 계약 담당자가 꼭 알아야 할 단계,착공신고 준공신고 공사계약
계약·조달,계약/조달,24,장기계속계약 vs 계속비계약 — 다년도 사업비 집행 방식 차이,장기계속계약 계속비 다년도
계약·조달,계약/조달,25,공동계약(공동도급) — 구성 방법과 지분율 산정 기준,공동도급 지분율 공동계약
계약·조달,계약/조달,26,입찰 참가자격 등록 — 면허·업종별 등록 갱신 주기,입찰참가자격 등록 갱신
계약·조달,계약/조달,27,계약 해제·해지 사유와 절차 — 일방 해지 시 손해배상은?,계약해지 해제 손해배상
계약·조달,계약/조달,28,공사감독관 역할과 법적 책임 — 설계변경 지시 권한,감독관 설계변경 법적책임
계약·조달,계약/조달,29,검사·검수 절차 — 물품·용역·공사별 처리 방법 차이,검사 검수 준공검사
계약·조달,계약/조달,30,선금 지급 요건 및 정산 절차 — 계약금액의 몇 %까지 가능?,선금 선급금 정산
계약·조달,계약/조달,31,기성금 지급 기한 — 검사 완료 후 며칠 이내 지급해야 하나,기성금 지급기한 지연이자
계약·조달,계약/조달,32,공공공사 안전관리비 계상 기준 — 공사 규모별 요율,안전관리비 계상 공사비
계약·조달,계약/조달,33,하도급 지킴이 시스템 활용법 — 하도급 대금 직불 요청 처리,하도급 직불 하도급지킴이
계약·조달,계약/조달,34,실적공사비 vs 표준품셈 — 예정가격 산정 방식 선택 기준,실적공사비 표준품셈 예정가격
계약·조달,계약/조달,35,입찰 무효 사유 총정리 — 무효 처리 후 재공고 절차,입찰무효 재공고 무효사유
계약·조달,계약/조달,36,최저가낙찰제 적용 대상 — 300억 미만 공사에도 적용되는가?,최저가낙찰 적용대상 공사
계약·조달,계약/조달,37,2단계경쟁입찰 — 기술·가격 분리 평가 절차,2단계경쟁 기술제안 가격입찰
계약·조달,계약/조달,38,종합심사낙찰제 — 300억 이상 공사 낙찰자 결정 방법,종합심사낙찰제 300억 공사
계약·조달,계약/조달,39,수의계약 계약이유서 작성법 — 필수 기재사항과 서식,계약이유서 수의계약 작성법
계약·조달,계약/조달,40,예정가격 사전공개 제도 — 대상 계약과 공개 시점,예정가격 사전공개 공개시점
계약·조달,계약/조달,41,국가계약법 vs 지방계약법 — 적용 기관과 주요 차이점,국가계약법 지방계약법 차이
계약·조달,계약/조달,42,계약담당자 위임 한도 — 기관장이 위임할 수 있는 범위,계약담당자 위임 권한
계약·조달,계약/조달,43,용역계약 과업지시서 작성법 — 성과물 기준 명시 방법,과업지시서 용역 성과물
계약·조달,계약/조달,44,학술연구용역 인건비 산정 — 책임급·고급·중급 적용 기준,학술연구용역 인건비 등급
계약·조달,계약/조달,45,소프트웨어 유지보수 계약 — 개발비 대비 단가 산정 방법,SW유지보수 단가 개발비
계약·조달,계약/조달,46,친환경 제품 우선구매 의무 — 비율·대상 품목 기준,친환경 우선구매 의무비율
계약·조달,계약/조달,47,중소기업 제품 공공구매 의무 비율 — 미달 시 제재 기준,중소기업 공공구매 의무비율
계약·조달,계약/조달,48,계약심사 제도 — 5천만원 이상 계약 전 심사 절차,계약심사 5천만원 사전심사
계약·조달,계약/조달,49,공사 준공검사 — 사용검사·준공검사 병행 시 처리 방법,준공검사 사용검사 공사
계약·조달,계약/조달,50,물품 단가계약 — 연간 단가계약 체결 절차와 납품 요청 방법,단가계약 연간계약 납품요청
예산·회계,예산편성/이월,51,추경예산 편성 요건 — 불가피한 사유와 의회 의결 절차,추경예산 추가경정 의회의결
예산·회계,예산편성/이월,52,지방자치단체 예산 이월 종류 — 명시이월·사고이월·계속비 차이,이월 명시이월 사고이월
예산·회계,예산편성/이월,53,계속비 예산 — 연도를 넘어 집행 가능한 사업비 관리법,계속비 다년도예산 집행
예산·회계,예산편성/이월,54,예비비 편성 한도와 집행 승인 절차 — 지방자치단체 기준,예비비 집행승인 한도
예산·회계,예산편성/이월,55,연말 이월·불용 처리 요령 — 12월 예산 집행 마감 실무,연말 이월 불용 마감
예산·회계,예산편성/이월,56,지방재정 불용액 처리 — 연말 불용 발생 시 다음 해 예산에 미치는 영향,불용액 세출예산 결산
예산·회계,예산편성/이월,57,중기지방재정계획 수립 방법 — 5년 계획 작성 기준,중기재정계획 5년 재정운용
예산·회계,예산편성/이월,58,주민참여예산 — 의무 편성 비율과 주민 제안 처리 절차,주민참여예산 편성비율 주민제안
예산·회계,예산편성/이월,59,성인지예산 — 여성·남성 예산 분석 의무 기관과 작성 방법,성인지예산 여성 남성
예산·회계,예산편성/이월,60,재정투자사업 심사 — 타당성 조사 대상 기준 금액,재정투자심사 타당성조사 기준금액
예산·회계,예산집행,61,세출예산 목별 분류 — 인건비·물건비·이전경비 헷갈리는 구분,세출예산 목 물건비
예산·회계,예산집행,62,세출예산 집행기준 — 편성 목적 외 사용 가능한가,집행기준 목적외 세출
예산·회계,예산집행,63,예산전용·이체·이용 차이 — 지방재정법상 절차 구분,예산전용 이용 이체
예산·회계,예산집행,64,세출 목간 전용 한도 — 기관장이 전용할 수 있는 범위,목간전용 기관장 한도
예산·회계,예산집행,65,원인행위 — 지출 원인행위와 지출 결의 차이,원인행위 지출결의 예산집행
예산·회계,예산집행,66,회계연도 독립의 원칙 — 예외 허용 범위와 이월 한계,회계연도 독립 예외
